Age,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,Gender_female,Gender_male,Gender_other,no_employees_mid
36,United States,CT,No,Yes,No,Never,500-1000,No,Yes,Unknown,Unknown,No,Unknown,Unknown,Easy,No,No,Yes,Yes,No,No,Maybe,No,False,True,False,750
27,Canada,Unknown,No,No,No,Never,6-25,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Easy,No,No,Maybe,Maybe,Maybe,Yes,Yes,No,False,True,False,15
29,United States,IL,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Unknown,No,No,Unknown,Easy,No,No,Yes,Maybe,Maybe,Maybe,Maybe,No,True,False,False,63
23,United Kingdom,Unknown,No,No,Yes,Sometimes,26-100,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Easy,Maybe,No,Maybe,No,Maybe,Maybe,No,No,False,True,False,63
32,United States,TN,No,No,Yes,Sometimes,6-25,No,Yes,Yes,Yes,No,Unknown,Unknown,Easy,Maybe,No,Maybe,Yes,No,No,No,No,False,True,False,15
46,United States,MD,yes,Yes,No,Sometimes,1-5,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Easy,No,No,Yes,Yes,No,Yes,Yes,Yes,False,True,False,3
36,France,Unknown,yes,Yes,No,Sometimes,6-25,Yes,Yes,No,No,Yes,No,Yes,Easy,No,No,Maybe,Maybe,Maybe,Maybe,Maybe,No,False,True,False,15
29,United States,NY,no,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Difficult,Maybe,No,Maybe,Maybe,No,No,No,No,False,True,False,300
31,United States,NC,yes,No,No,Never,1-5,Yes,Yes,No,No,No,No,Yes,Difficult,No,No,Maybe,Maybe,No,Maybe,Yes,No,False,True,False,3
46,United States,MA,no,No,Yes,Often,26-100,Yes,Yes,Yes,Yes,No,No,Unknown,Easy,Maybe,No,Maybe,Yes,No,Maybe,No,No,False,True,False,63
41,United States,IA,no,No,Yes,Never,more than 1000,No,No,Unknown,No,No,Unknown,Unknown,Easy,Maybe,No,No,No,No,Yes,Maybe,No,False,True,False,1500
33,United States,CA,no,Yes,Yes,Rarely,26-100,No,Yes,Yes,Unknown,Unknown,Yes,Yes,Easy,No,No,Yes,Yes,No,Yes,Maybe,No,False,True,False,63
35,United States,TN,no,Yes,Yes,Sometimes,more than 1000,No,No,Yes,Yes,No,Unknown,No,Easy,Yes,No,Maybe,Yes,No,Yes,No,No,False,True,False,1500
33,United States,TN,no,No,No,Sometimes,1-5,No,Yes,Unknown,Unknown,No,Unknown,Unknown,Easy,Maybe,Maybe,Maybe,No,No,No,Maybe,No,False,True,False,3
35,United States,CA,no,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,True,False,False,15
34,United States,OH,no,No,Yes,Sometimes,26-100,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,Difficult,No,No,Maybe,No,No,No,No,No,False,True,False,63
37,United Kingdom,Unknown,no,No,No,Sometimes,6-25,No,Yes,No,No,No,No,Unknown,Difficult,Yes,Maybe,Maybe,No,No,Maybe,No,No,False,True,False,15
32,United Kingdom,Unknown,no,No,No,Never,6-25,Yes,Yes,No,No,No,No,Unknown,Easy,Yes,Yes,Maybe,Maybe,No,Maybe,No,No,False,True,False,15
31,United States,PA,yes,Yes,No,Rarely,1-5,Yes,Yes,No,Yes,No,No,Unknown,Difficult,Yes,No,No,No,No,No,No,Yes,False,True,False,3
30,United Kingdom,Unknown,no,Yes,Yes,Sometimes,500-1000,Yes,Yes,Unknown,No,No,No,Yes,Easy,Maybe,No,Maybe,Yes,No,Yes,Maybe,No,False,True,False,750
42,United States,WA,no,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Easy,Maybe,No,Maybe,Maybe,Maybe,Yes,Maybe,No,False,True,False,63
40,United States,WI,no,No,Yes,Sometimes,1-5,No,Yes,Yes,Yes,No,No,Unknown,Easy,Maybe,No,Maybe,No,No,Maybe,Yes,No,True,False,False,3
27,United States,NY,no,No,Yes,Rarely,6-25,No,Yes,No,Yes,No,No,Unknown,Easy,No,No,Yes,Yes,Maybe,Maybe,Maybe,No,False,True,False,15
29,Canada,Unknown,no,No,No,Rarely,1-5,No,Yes,No,No,No,No,Unknown,Easy,Yes,Maybe,Maybe,No,No,No,Maybe,No,False,True,False,3
38,Portugal,Unknown,no,No,No,Sometimes,100-500,No,Yes,No,Yes,No,No,Unknown,Easy,Maybe,No,Maybe,Maybe,No,Maybe,No,No,False,True,False,300
50,United States,IN,no,No,No,Sometimes,100-500,No,Yes,Yes,Yes,No,Unknown,Unknown,Easy,No,No,Maybe,Yes,No,Maybe,Maybe,No,False,True,False,300
35,United States,TX,no,No,Yes,Rarely,more than 1000,Yes,Yes,Yes,Yes,No,Yes,Yes,Easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,False,True,False,1500
24,United Kingdom,Unknown,no,No,Yes,Sometimes,6-25,No,Yes,No,No,No,No,Unknown,Easy,Maybe,Maybe,Maybe,No,No,Yes,No,Yes,False,True,False,15
35,United States,MI,no,No,No,Sometimes,more than 1000,Yes,Yes,Yes,Unknown,Unknown,Yes,Unknown,Difficult,Yes,Yes,Maybe,No,No,Maybe,Maybe,No,False,True,False,1500
27,Canada,Unknown,no,Yes,Yes,Sometimes,1-5,No,Yes,No,Yes,No,No,Yes,Difficult,Maybe,No,Maybe,No,No,No,Yes,No,False,True,False,3
18,Netherlands,Unknown,no,No,No,Often,6-25,No,Yes,No,Unknown,No,No,Unknown,Difficult,Yes,Maybe,No,Maybe,No,No,No,No,False,True,False,15
30,United States,IN,no,No,Yes,Sometimes,26-100,No,Yes,Unknown,No,No,No,Unknown,Easy,No,No,No,No,No,Maybe,Maybe,No,False,True,False,63
38,United States,TX,no,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Yes,Yes,Easy,No,No,Maybe,Yes,No,No,Yes,No,True,False,False,63
28,United Kingdom,Unknown,no,No,No,Sometimes,26-100,No,Yes,Unknown,Unknown,No,No,Unknown,Easy,No,Maybe,Maybe,Yes,Maybe,Yes,Maybe,No,False,True,False,63
34,United States,TN,no,No,No,Sometimes,6-25,No,Yes,No,No,No,No,Unknown,Easy,No,No,Yes,Yes,Maybe,Yes,Maybe,No,False,True,False,15
26,Canada,Unknown,yes,No,No,Sometimes,1-5,No,Yes,No,Yes,Yes,No,Unknown,Easy,No,No,Yes,Yes,No,No,Yes,No,False,True,False,3
30,United States,IL,no,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,No,Unknown,Unknown,Easy,Maybe,No,Maybe,Yes,No,No,Maybe,No,False,True,False,63
22,United States,TX,no,Yes,Yes,Often,6-25,No,Yes,No,Yes,No,No,Yes,Difficult,Maybe,No,No,No,No,Maybe,Maybe,No,False,True,False,15
33,United States,UT,no,No,No,Sometimes,100-500,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Easy,No,No,Maybe,Yes,Maybe,Maybe,Maybe,No,False,True,False,300
31,United States,Unknown,no,No,No,Sometimes,100-500,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Easy,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,False,True,False,300
32,United States,TN,no,No,No,Never,1-5,Yes,Yes,Unknown,Unknown,No,No,Unknown,Easy,Maybe,No,Maybe,Yes,No,No,Maybe,No,False,True,False,3
28,Switzerland,Unknown,no,No,No,Sometimes,100-500,No,Yes,No,No,No,No,Unknown,Easy,No,No,No,No,No,Maybe,Maybe,No,False,True,False,300
27,United States,NY,no,Yes,Yes,Rarely,26-100,No,Yes,Yes,Yes,No,No,Yes,Easy,Maybe,No,No,No,No,No,Maybe,No,False,False,True,63
32,United States,TN,no,Yes,No,Sometimes,6-25,Yes,Yes,Unknown,No,No,No,Unknown,Easy,No,No,Yes,Yes,No,No,Yes,No,False,False,True,15
24,United States,NY,no,Yes,Yes,Sometimes,26-100,Yes,Yes,Unknown,No,No,No,Unknown,Easy,No,Maybe,Maybe,Yes,Yes,Yes,No,No,False,True,False,63
26,United States,TN,no,No,No,Sometimes,26-100,No,No,No,No,No,No,Yes,Easy,No,No,Maybe,Yes,Maybe,Yes,Maybe,No,False,True,False,63
33,Canada,Unknown,no,Yes,Yes,Often,6-25,Yes,Yes,Unknown,No,No,No,No,Difficult,Yes,No,No,No,No,Maybe,Maybe,No,False,True,False,15
44,United States,IA,no,Yes,Yes,Sometimes,more than 1000,No,No,Yes,No,No,Unknown,Unknown,Easy,Yes,Maybe,Maybe,No,No,Maybe,Maybe,Yes,False,True,False,1500
26,Poland,Unknown,no,No,Yes,Sometimes,26-100,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,True,False,False,63
27,United Kingdom,Unknown,no,No,No,Never,100-500,No,Yes,Yes,Unknown,No,Yes,Unknown,Easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,False,True,False,300
26,France,Unknown,no,No,No,Sometimes,26-100,No,Yes,No,No,No,No,Unknown,Easy,Yes,No,No,No,No,No,No,Yes,False,True,False,63
35,Canada,Unknown,no,No,No,Sometimes,6-25,No,Yes,Unknown,No,No,No,Unknown,Easy,No,No,Maybe,Yes,No,Maybe,Maybe,No,False,True,False,15
40,United States,CA,no,Yes,No,Sometimes,more than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Easy,Yes,Maybe,Maybe,No,No,No,No,Yes,False,True,False,1500
23,Australia,Unknown,no,Yes,Yes,Often,1-5,Yes,Yes,No,Unknown,No,No,Unknown,Easy,No,No,Maybe,Yes,No,Maybe,Yes,No,True,False,False,3
36,United States,TX,no,No,No,Sometimes,100-500,Yes,Yes,Yes,No,Unknown,Yes,Unknown,Easy,Maybe,No,Maybe,Maybe,Maybe,Yes,Yes,No,False,True,False,300
31,United States,NM,no,No,No,Sometimes,26-100,Yes,No,Unknown,No,Unknown,Unknown,Unknown,Easy,Maybe,No,Maybe,No,No,Maybe,Maybe,No,True,False,False,63
34,United States,NY,yes,No,No,Rarely,1-5,Yes,Yes,No,No,No,No,Unknown,Easy,Maybe,No,Maybe,No,No,No,Maybe,No,False,True,False,3
28,France,Unknown,no,No,No,Never,26-100,No,Yes,No,No,No,No,Unknown,Easy,Maybe,No,Maybe,Maybe,No,No,Maybe,No,False,True,False,63
34,Canada,Unknown,no,No,No,Never,6-25,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Easy,No,No,Maybe,Yes,No,No,Maybe,No,False,True,False,15
23,United States,MA,no,No,No,Rarely,more than 1000,No,Yes,Yes,Yes,No,No,Yes,Difficult,Maybe,No,Yes,Yes,No,No,No,No,False,False,True,1500
38,United Kingdom,Unknown,no,No,No,Sometimes,26-100,No,Yes,No,No,No,Unknown,Yes,Easy,No,No,Maybe,Yes,Maybe,Yes,Yes,No,False,True,False,63
33,United States,CA,no,No,No,Never,more than 1000,No,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Easy,Maybe,No,Maybe,Maybe,No,Maybe,Yes,No,False,True,False,1500
19,United Kingdom,Unknown,no,No,No,Sometimes,1-5,No,Yes,No,Yes,No,No,No,Difficult,Yes,No,No,No,No,Maybe,No,No,False,True,False,3
25,United States,WA,no,No,No,Sometimes,more than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,False,True,False,1500
31,United States,WA,yes,Yes,No,Sometimes,1-5,Yes,Yes,No,No,No,No,Yes,Difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No,False,True,False,3
32,United States,UT,no,Yes,Yes,Sometimes,26-100,Yes,Yes,No,No,No,No,Unknown,Difficult,Yes,No,Maybe,No,No,Yes,No,No,False,True,False,63
28,Germany,Unknown,no,No,No,Never,6-25,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Easy,No,No,Maybe,Maybe,Maybe,Yes,Yes,No,False,True,False,15
38,United States,NY,no,Yes,No,Sometimes,100-500,Yes,Yes,Yes,Yes,No,Yes,Unknown,Easy,No,No,Yes,Maybe,Maybe,Maybe,Yes,No,False,True,False,300
23,United Kingdom,Unknown,no,No,No,Never,26-100,No,Yes,Yes,Unknown,Yes,Unknown,Unknown,Easy,No,No,Maybe,Yes,Maybe,Maybe,Yes,No,False,True,False,63
30,Canada,Unknown,no,No,No,Never,26-100,No,No,No,No,No,No,Unknown,Easy,No,No,Maybe,Yes,No,No,No,No,False,True,False,63
27,United States,NY,yes,No,Yes,Often,1-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Easy,Maybe,Maybe,Maybe,Yes,No,Maybe,Yes,No,False,False,True,3
33,United States,CA,no,Yes,No,Never,more than 1000,No,Yes,No,No,No,No,Unknown,Easy,Yes,No,No,No,No,Maybe,No,No,False,True,False,1500
31,United States,TX,no,No,No,Sometimes,26-100,No,Yes,Unknown,Unknown,No,No,Unknown,Easy,No,No,Maybe,Yes,Maybe,Maybe,No,No,False,True,False,63
39,United Kingdom,Unknown,yes,No,Yes,Often,6-25,No,Yes,No,No,No,No,Unknown,Difficult,Maybe,No,Maybe,No,No,Maybe,No,Yes,False,True,False,15
34,United States,OR,no,Yes,Yes,Rarely,500-1000,Yes,Yes,Yes,Unknown,No,Unknown,Unknown,Easy,Yes,Maybe,Maybe,Maybe,No,No,Maybe,No,True,False,False,750
29,United States,FL,no,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,No,Unknown,Easy,Maybe,No,Maybe,Maybe,No,Maybe,No,Yes,True,False,False,63
32,United States,IL,no,No,No,Sometimes,500-1000,No,Yes,Unknown,No,No,Unknown,Unknown,Easy,No,No,Maybe,Maybe,No,No,Maybe,No,False,True,False,750
31,United States,NY,no,No,No,Never,500-1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Maybe,Yes,No,No,Yes,No,False,True,False,750
40,United States,TX,no,No,Yes,Sometimes,26-100,No,Yes,No,Yes,No,No,Yes,Difficult,No,No,Yes,Yes,Yes,Yes,No,No,False,True,False,63
34,United States,OH,no,No,No,Sometimes,26-100,No,Yes,Unknown,No,No,No,Unknown,Easy,Maybe,No,Maybe,No,No,Maybe,Maybe,No,False,True,False,63
18,Russia,Unknown,no,No,No,Sometimes,26-100,Yes,Yes,Yes,Yes,No,No,Yes,Easy,No,No,Yes,Yes,Yes,Yes,Maybe,No,False,False,True,63
25,Canada,Unknown,no,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Unknown,Unknown,Easy,Maybe,No,Maybe,Yes,No,Maybe,Maybe,No,True,False,False,63
29,United States,MN,no,No,No,Never,26-100,No,Yes,Unknown,No,No,Unknown,Unknown,Easy,No,No,Yes,Yes,Maybe,Maybe,No,No,False,True,False,63
24,United States,MO,no,Yes,No,Rarely,26-100,No,Yes,Unknown,Unknown,No,Unknown,Unknown,Easy,Maybe,Maybe,Maybe,No,No,Maybe,Maybe,No,False,True,False,63
31,Mexico,Unknown,no,Yes,Yes,Sometimes,6-25,No,Yes,Unknown,No,No,No,Unknown,Easy,No,No,Maybe,Yes,Maybe,Yes,No,No,False,True,False,15
33,United States,AZ,no,No,Yes,Sometimes,6-25,No,Yes,No,Yes,No,No,Unknown,Easy,Maybe,No,Maybe,No,No,Maybe,No,No,False,False,True,15
30,United States,IN,no,No,Yes,Often,1-5,No,Yes,No,Yes,No,No,Yes,Easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,False,True,False,3
26,Canada,Unknown,no,Yes,Yes,Sometimes,26-100,No,No,No,Yes,No,No,No,Difficult,Yes,No,No,No,No,Maybe,No,Yes,True,False,False,63
44,United States,MA,no,No,No,Never,100-500,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Easy,Maybe,Maybe,No,Maybe,No,No,Maybe,No,True,False,False,300
25,United States,NY,no,Yes,No,Sometimes,26-100,No,Yes,Unknown,No,Unknown,Unknown,Unknown,Easy,No,No,Maybe,Yes,No,No,Maybe,No,False,True,False,63
33,United States,WI,no,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Maybe,Yes,Maybe,Maybe,Yes,No,False,True,False,63
29,United States,NY,no,No,No,Never,more than 1000,No,Yes,Yes,Unknown,Yes,Unknown,Unknown,Easy,No,No,Maybe,Yes,No,No,Maybe,No,False,True,False,1500
35,United States,MO,no,Yes,No,Rarely,6-25,No,Yes,Yes,Unknown,No,No,Yes,Easy,No,No,Maybe,Yes,No,No,Maybe,No,False,True,False,15
35,United States,OR,no,Yes,Yes,Sometimes,26-100,Yes,Yes,Unknown,Unknown,No,No,Unknown,Easy,No,No,Maybe,Yes,No,Maybe,No,No,False,True,False,63
28,Brazil,Unknown,no,Yes,Yes,Rarely,6-25,No,Yes,No,No,No,No,No,Easy,Maybe,No,Yes,Yes,No,No,Maybe,Yes,False,True,False,15
34,United States,TN,no,Yes,No,Never,6-25,Yes,Yes,Yes,No,No,No,Unknown,Easy,Maybe,No,No,No,No,No,Maybe,No,False,True,False,15
32,United States,WA,no,No,Yes,Sometimes,26-100,No,Yes,Yes,No,Yes,Yes,Yes,Difficult,Maybe,No,Maybe,Yes,No,Maybe,Yes,No,False,True,False,63
22,United States,NY,no,No,Yes,Sometimes,500-1000,No,Yes,Yes,Yes,No,Unknown,Yes,Easy,Yes,No,No,No,No,Yes,No,No,False,True,False,750
28,United States,CA,no,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Maybe,Maybe,No,Maybe,Yes,No,False,True,False,63
45,United States,MO,no,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Yes,No,Yes,Yes,Easy,No,No,Yes,Yes,Yes,Yes,Yes,No,False,True,False,15
32,United States,NY,no,No,No,Never,100-500,No,Yes,Yes,Yes,No,Unknown,Unknown,Easy,Maybe,No,Maybe,Maybe,No,No,Maybe,No,False,True,False,300
28,United States,TX,no,No,No,Sometimes,more than 1000,No,Yes,Unknown,No,No,Unknown,Unknown,Easy,Maybe,No,Maybe,No,No,Maybe,Maybe,No,False,True,False,1500
26,United Kingdom,Unknown,no,No,No,Never,6-25,No,Yes,Unknown,No,No,Unknown,Unknown,Easy,No,No,Maybe,Maybe,No,No,Maybe,Yes,False,True,False,15
21,United Kingdom,Unknown,yes,No,No,Often,1-5,Yes,No,No,Yes,No,No,Yes,Difficult,Yes,No,Maybe,Yes,No,Maybe,No,No,False,True,False,3
27,Canada,Unknown,no,No,No,Rarely,6-25,No,No,Yes,Yes,Yes,Yes,Yes,Easy,Maybe,No,Maybe,Yes,No,No,Maybe,No,False,True,False,15
18,United States,CT,no,No,Yes,Rarely,1-5,Yes,Yes,No,No,No,No,Yes,Easy,No,No,Maybe,No,No,No,Maybe,No,False,True,False,3
35,United States,CO,no,No,No,Sometimes,26-100,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,Easy,No,No,Maybe,Yes,Maybe,Maybe,Maybe,No,False,True,False,63
29,United States,GA,no,No,No,Never,more than 1000,No,Yes,Yes,Yes,No,Yes,Unknown,Easy,Yes,Yes,No,No,No,No,Maybe,No,False,True,False,1500
25,United States,DC,no,No,No,Sometimes,26-100,Yes,Yes,Unknown,No,No,No,Unknown,Easy,No,No,Maybe,Yes,No,No,Maybe,No,False,True,False,63
33,United States,MN,no,Yes,Yes,Sometimes,6-25,Yes,Yes,Unknown,No,Unknown,Unknown,Yes,Easy,No,No,Yes,Yes,No,Maybe,Yes,No,False,True,False,15
36,United States,WA,no,No,No,Often,6-25,No,Yes,Yes,No,No,No,Yes,Easy,Maybe,No,No,No,No,No,Maybe,No,False,True,False,15
27,Canada,Unknown,no,No,Yes,Never,100-500,No,No,Yes,Unknown,No,No,Unknown,Difficult,Maybe,No,Maybe,Yes,No,Maybe,No,Yes,False,True,False,300
27,United States,WA,no,Yes,No,Never,500-1000,No,Yes,Yes,No,Yes,Yes,Yes,Easy,Yes,No,Maybe,No,No,Yes,Maybe,No,False,True,False,750
27,United Kingdom,Unknown,no,No,No,Sometimes,6-25,No,Yes,No,No,No,No,Unknown,Easy,No,No,Maybe,Maybe,No,No,Maybe,No,False,True,False,15
32,United States,OR,no,No,Yes,Rarely,100-500,No,Yes,Yes,Yes,No,Yes,Yes,Easy,Yes,No,No,Yes,No,No,Maybe,No,False,True,False,300
31,United Kingdom,Unknown,no,Yes,No,Sometimes,6-25,No,Yes,No,No,No,No,Unknown,Easy,Maybe,Maybe,No,No,No,No,Yes,No,False,True,False,15
19,Slovenia,Unknown,no,No,Yes,Sometimes,6-25,No,Yes,Unknown,No,No,No,Unknown,Easy,Yes,Yes,Maybe,No,No,No,Maybe,No,False,True,False,15
33,United States,IL,no,Yes,Yes,Sometimes,more than 1000,No,Yes,Yes,Yes,No,No,Unknown,Easy,Maybe,No,Yes,Maybe,No,Yes,No,No,False,True,False,1500
32,United States,CA,no,No,No,Rarely,1-5,Yes,Yes,No,Yes,No,No,Unknown,Difficult,Maybe,No,Yes,Maybe,No,Yes,Maybe,No,False,True,False,3
27,United States,NE,no,No,No,Never,26-100,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Easy,No,No,Yes,Yes,Maybe,Maybe,Maybe,No,False,True,False,63
38,Costa Rica,Unknown,no,No,No,Sometimes,26-100,Yes,Yes,No,Yes,No,No,Yes,Easy,No,No,Yes,Yes,Maybe,Yes,No,No,False,True,False,63
24,Canada,Unknown,no,No,Yes,Never,26-100,No,Yes,Unknown,No,No,No,Unknown,Easy,No,No,Maybe,Yes,Maybe,Yes,Maybe,No,False,True,False,63
39,United Kingdom,Unknown,no,No,No,Never,26-100,No,No,No,No,No,No,Unknown,Easy,Yes,Maybe,No,No,No,No,Maybe,No,False,True,False,63
28,United Kingdom,Unknown,no,No,No,Never,6-25,No,Yes,Unknown,No,No,No,Yes,Easy,No,No,Maybe,Yes,Maybe,Maybe,Yes,No,False,True,False,15
39,United States,IA,no,No,Yes,Often,more than 1000,No,Yes,Yes,Unknown,No,No,Unknown,Easy,No,No,Yes,Yes,No,No,Maybe,No,False,True,False,1500
29,United States,MD,no,No,No,Sometimes,6-25,No,Yes,Unknown,No,No,Unknown,Unknown,Easy,Maybe,No,Maybe,No,No,No,Maybe,No,True,False,False,15
22,Austria,Unknown,no,No,No,Sometimes,6-25,Yes,Yes,Unknown,No,Unknown,No,Unknown,Easy,No,No,Maybe,Maybe,No,No,Maybe,No,False,True,False,15
38,United States,OR,no,Yes,Yes,Sometimes,100-500,No,Yes,Unknown,No,Unknown,Unknown,Unknown,Easy,Maybe,No,Maybe,Yes,No,No,Maybe,No,False,True,False,300
37,United Kingdom,Unknown,yes,No,Yes,Sometimes,more than 1000,No,No,No,Yes,Yes,Yes,Yes,Difficult,Yes,Yes,Maybe,No,No,Maybe,Yes,No,False,True,False,1500
35,United States,TX,no,No,No,Never,26-100,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Easy,Yes,No,Maybe,No,No,Maybe,Maybe,No,False,True,False,63
30,United States,PA,no,Yes,No,Sometimes,more than 1000,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,Easy,Maybe,Maybe,Maybe,Maybe,No,Maybe,Maybe,No,True,False,False,1500
37,United States,IN,no,Yes,Yes,Rarely,100-500,No,No,Yes,Yes,Yes,Yes,Unknown,Easy,Maybe,Maybe,Maybe,Yes,Maybe,Maybe,Maybe,No,False,True,False,300
24,United Kingdom,Unknown,no,No,No,Never,6-25,No,Yes,No,No,No,No,Yes,Easy,Maybe,Maybe,No,Maybe,No,No,Maybe,No,False,True,False,15
23,United States,WV,no,No,No,Sometimes,6-25,No,No,No,No,No,No,No,Easy,Yes,Yes,No,No,No,No,No,No,False,True,False,15
30,Ireland,Unknown,no,No,Yes,Rarely,100-500,No,Yes,No,Yes,Yes,Yes,Unknown,Easy,Yes,No,Maybe,No,No,No,No,Yes,False,True,False,300
29,United States,MI,no,No,No,Sometimes,100-500,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,Easy,Maybe,No,No,Maybe,No,Maybe,Maybe,No,True,False,False,300
19,Canada,Unknown,yes,Yes,No,Sometimes,1-5,Yes,Yes,Unknown,Unknown,No,Yes,Yes,Easy,Maybe,No,Maybe,Maybe,Maybe,Maybe,Maybe,No,False,True,False,3
32,United States,CA,no,Yes,No,Never,26-100,No,Yes,Unknown,Unknown,No,No,Unknown,Easy,No,No,Maybe,Maybe,No,Maybe,No,No,False,True,False,63
28,Poland,Unknown,no,No,No,Rarely,6-25,Yes,Yes,No,No,No,No,Unknown,Easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,False,True,False,15
36,United States,IL,no,No,No,Never,6-25,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Easy,No,No,Maybe,Maybe,Maybe,Maybe,Maybe,No,False,True,False,15
